Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum
780353904781516801,,,0,8,8,0,8,8,1,1,1,0,0,0.000237,294,0.000021,0,9529
857604038606688256,,,0,2,2,0,3,3,1,1,1,0,0,0.000007,294,0.000021,0,9531
civiccritic,,,1,0,1,2,0,2,0,0,0,0,0,0,294,0.000032,0,9530
1427419310,,,0,1,1,0,1,1,1,1,1,0,0,0,75,0.000021,75,9533
ckucznierz,,,1,0,1,1,0,1,0,0,0,0,0,0,75,0.000038,75,9532
claudialuisa16,,,1,0,1,1,0,1,0,0,0,0,0.000001,0,294,0.000022,0,1270
18019396,,,0,1,1,0,1,1,1,1,1,0,0,0,294,0.000021,0,9534
claudine,,,3,0,3,3,0,3,0,0,0,0,0.000004,0,294,0.000048,0,6039
391697504,,,0,2,2,0,2,2,1,1,1,0,0,0.000003,294,0.000021,0,9535
153339427,,,0,1,1,0,1,1,1,1,1,0,0,0.000002,294,0.000021,0,9536
clauskleber,,,25,0,25,25,0,25,0,0,0,0,0.000135,0,294,0.000238,0,1705
16089324,,,0,1,1,0,1,1,1,1,1,0,0,0.000002,294,0.000021,0,9537
16389337,,,0,1,1,0,1,1,1,1,1,0,0,0.000002,294,0.000021,0,9538
2240403063,,,0,3,3,0,3,3,1,1,1,0,0,0.000029,294,0.000021,0,9539
24188367,,,0,3,3,0,3,3,1,1,1,0,0,0.000047,294,0.000021,0,9540
2479770682,,,0,6,6,0,6,6,1,1,1,0,0,0.000015,294,0.000021,0,9542
2535065565,,,0,8,8,0,12,12,1,1,1,0,0,0.000184,294,0.000021,0,9543
2797875641,,,0,1,1,0,1,1,1,1,1,0,0,0.000002,294,0.000021,0,9544
42624828,,,0,1,1,0,1,1,1,1,1,0,0,0.000002,294,0.000021,0,9545
44464552,,,0,2,2,0,2,2,1,1,1,0,0,0.000012,294,0.000021,0,9546
626039658,,,0,1,1,0,1,1,1,1,1,0,0,0.000002,294,0.000021,0,9547
714317671,,,0,1,1,0,1,1,1,1,1,0,0,0.000002,294,0.000021,0,9548
760051,,,0,2,2,0,2,2,1,1,1,0,0,0.000028,294,0.000021,0,9549
761892330911723520,,,0,3,3,0,3,3,1,1,1,0,0,0.000009,294,0.000021,0,9550
881223206916562944,,,0,1,1,0,1,1,1,1,1,0,0,0.000002,294,0.000021,0,9551
923353346,,,0,2,2,0,2,2,1,1,1,0,0,0.000004,294,0.000021,0,9552
1004709228,,,0,3,3,0,3,3,1,1,1,0,0,0.000028,294,0.000021,0,9554
cloerk,,,3,0,3,3,0,3,0,0,0,0,0,0,294,0.000062,0,9553
2304511685,,,0,1,1,0,1,1,1,1,1,0,0,0,294,0.000021,0,9555
73690522,,,0,1,1,0,1,1,1,1,1,0,0,0,294,0.000021,0,9556
clzmueller,,,1,0,1,1,0,1,0,0,0,0,0,0,294,0.000027,0,6817
cm2111,,,1,0,1,1,0,1,0,0,0,0,0.000005,0,294,0.000022,0,5516
109643364,,,0,1,1,0,1,1,1,1,1,0,0,0.000001,294,0.000021,0,9557
cmihr,,,25,0,25,25,0,25,0,0,0,0,0.000048,0,294,0.000286,0,1775
124866877,,,0,1,1,0,1,1,1,1,1,0,0,0.000001,294,0.000021,0,9558
15079304,,,0,1,1,0,1,1,1,1,1,0,0,0.000001,294,0.000021,0,9559
170259048,,,0,1,1,0,1,1,1,1,1,0,0,0.000001,294,0.000021,0,9560
1709622409,,,0,1,1,0,1,1,1,1,1,0,0,0.000001,294,0.000021,0,9561
19402853,,,0,2,2,0,2,2,1,1,1,0,0,0.000008,294,0.000021,0,9562
19561604,,,0,1,1,0,1,1,1,1,1,0,0,0.000001,294,0.000021,0,9563
2301580002,,,0,7,7,0,18,18,1,1,1,0,0,0.000444,294,0.000021,0,9564
23510768,,,0,3,3,0,3,3,1,1,1,0,0,0.000001,294,0.000021,0,9565
2365959637,,,0,3,3,0,3,3,1,1,1,0,0,0.000019,294,0.000021,0,9566
2467705602,,,0,1,1,0,1,1,1,1,1,0,0,0.000001,294,0.000021,0,9567
2542779147,,,0,1,1,0,1,1,1,1,1,0,0,0.000001,294,0.000021,0,9568
2760273862,,,0,1,1,0,1,1,1,1,1,0,0,0.000001,294,0.000021,0,9569
280489010,,,0,5,5,0,5,5,1,1,1,0,0,0.000148,294,0.000021,0,9570
30933275,,,0,2,2,0,2,2,1,1,1,0,0,0.000002,294,0.000021,0,9571
367087158,,,0,1,1,0,1,1,1,1,1,0,0,0.000001,294,0.000021,0,9572
371189071,,,0,2,2,0,2,2,1,1,1,0,0,0.000006,294,0.000021,0,9573
94094477,,,0,1,1,0,1,1,1,1,1,0,0,0.000001,294,0.000021,0,9574
9453252,,,0,1,1,0,1,1,1,1,1,0,0,0.000001,294,0.000021,0,9575
3345650590,,,0,1,1,0,1,1,1,1,1,0,0,0,76,0.000021,76,9577
comicspatula,,,2,0,2,2,0,2,0,0,0,0,0,0,76,0.000056,76,9576
3511678655,,,0,1,1,0,1,1,1,1,1,0,0,0,76,0.000021,76,9578
compactmagazin,,,66,0,66,80,0,80,0,0,0,0,0.026054,0,17,0.000163,0,525
147652647,,,0,6,6,0,6,6,1,1,1,0,0,0.003391,17,0.000021,0,9579
1919392430,,,0,4,4,0,4,4,1,1,1,0,0,0.002772,17,0.000021,0,9581
2179709892,,,0,1,1,0,1,1,1,1,1,0,0,0.000303,17,0.000021,0,9582
289486347,,,0,2,2,0,3,3,1,1,1,0,0,0.000525,17,0.000021,0,9583
2992029802,,,0,1,1,0,1,1,1,1,1,0,0,0.000303,17,0.000021,0,9584
3133839646,,,0,3,3,0,3,3,1,1,1,0,0,0.00336,17,0.000021,0,9585
722110998040166402,,,0,1,1,0,1,1,1,1,1,0,0,0.000303,17,0.000021,0,9586
864529488293613568,,,0,3,3,0,3,3,1,1,1,0,0,0.003037,17,0.000021,0,9587
2273333798,,,0,1,1,0,1,1,1,1,1,0,0,0.000012,294,0.000021,0,9588
confluentesinfo,,,6,0,6,8,0,8,0,0,0,0,0.001026,0,294,0.000075,0,586
827259867341524992,,,0,1,1,0,2,2,1,1,1,0,0,0.000012,294,0.000021,0,9589
895599401481019393,,,0,1,1,0,2,2,1,1,1,0,0,0.000012,294,0.000021,0,9590
conhen234,,,6,0,6,7,0,7,0,0,0,0,0.002344,0,17,0.000023,0,858
conligit,,,29,0,29,30,0,30,0,0,0,0,0.000082,0,294,0.000126,0,307
158663927,,,0,1,1,0,1,1,1,1,1,0,0,0.000001,294,0.000021,0,9591
2445132326,,,0,2,2,0,2,2,1,1,1,0,0,0.000001,294,0.000021,0,9593
2477547853,,,0,1,1,0,1,1,1,1,1,0,0,0.000001,294,0.000021,0,9594
24892259,,,0,9,9,0,9,9,1,1,1,0,0,0.000306,294,0.000021,0,9595
26777021,,,0,7,7,0,7,7,1,1,1,0,0,0.000077,294,0.000021,0,9596
2990242703,,,0,2,2,0,2,2,1,1,1,0,0,0.000014,294,0.000021,0,9597
724526379073691648,,,0,5,5,0,5,5,1,1,1,0,0,0.000036,294,0.000021,0,9598
729986706917752832,,,0,2,2,0,2,2,1,1,1,0,0,0.000018,294,0.000021,0,9599
connymeier,,,7,0,7,8,0,8,0,0,0,0,0.004383,0,17,0.000022,0,816
contra_magazin,,,1,0,1,1,0,1,0,0,0,0,0.000032,0,17,0.000025,0,9580
1129542560,,,0,3,3,0,3,3,1,1,1,0,0,0.000051,294,0.000021,0,9600
copapalmieri,,,15,0,15,15,0,15,0,0,0,0,0.000013,0,294,0.000096,0,1557
192665591,,,0,1,1,0,1,1,1,1,1,0,0,0,294,0.000021,0,9601
269420081,,,0,1,1,0,1,1,1,1,1,0,0,0,294,0.000021,0,9602
3221797367,,,0,4,4,0,4,4,1,1,1,0,0,0.00005,294,0.000021,0,9603
841427060,,,0,21,21,0,30,30,1,1,1,0,0,0.000257,294,0.000021,0,9606
cor_scipio,,,3,0,3,4,0,4,0,0,0,0,0.000736,0,17,0.000023,0,897
corinastrauss,,,1,0,1,1,0,1,0,0,0,0,0.000001,0,294,0.000027,0,8170
corinnamiazga,,,24,0,24,24,0,24,0,0,0,0,0.011933,0,17,0.000034,0,815
4714975996,,,0,9,9,0,10,10,1,1,1,0,0,0.008306,17,0.000021,0,9607
correctiv_org,,,10,0,10,10,0,10,0,0,0,0,0.000023,0,294,0.00004,0,1134
448785529,,,0,4,4,0,4,4,1,1,1,0,0,0.000022,294,0.000021,0,9609
611129389,,,0,9,9,0,9,9,1,1,1,0,0,0.000161,294,0.000021,0,9610
951580298,,,0,4,4,0,5,5,1,1,1,0,0,0.000208,294,0.000021,0,9611
3555828676,,,0,2,2,0,2,2,1,1,1,0,0,0.000005,294,0.000021,0,9613
cosmicyes,,,1,0,1,1,0,1,0,0,0,0,0,0,294,0.000029,0,9612
19359977,,,0,5,5,0,5,5,1,1,1,0,0,0.00002,294,0.000021,0,9615
cosmo__ard,,,2,0,2,2,0,2,0,0,0,0,0,0,294,0.000042,0,9614
42046860,,,0,1,1,0,1,1,1,1,1,0,0,0,294,0.000021,0,9616
1255245968,,,0,1,1,0,1,1,1,1,1,0,0,0,17,0.000021,0,9618
cougarab,,,2,0,2,2,0,2,0,0,0,0,0.000003,0,17,0.000047,0,9617
23805044,,,0,2,2,0,2,2,1,1,1,0,0,0.000282,17,0.000021,0,9619
60850861,,,0,1,1,0,1,1,1,1,1,0,0,0,77,0.000021,77,9621
countrytec,,,1,0,1,1,0,1,0,0,0,0,0,0,77,0.000038,77,9620
cp_berlin,,,14,0,14,14,0,14,0,0,0,0,0.000023,0,294,0.000112,0,3929
151184487,,,0,3,3,0,3,3,1,1,1,0,0,0.000291,294,0.000021,0,9622
2172431544,,,0,1,1,0,1,1,1,1,1,0,0,0,294,0.000021,0,9623
2180334926,,,0,1,1,0,1,1,1,1,1,0,0,0,294,0.000021,0,9624
2250439712,,,0,2,2,0,2,2,1,1,1,0,0,0.000016,294,0.000021,0,9625
3769471457,,,0,1,1,0,1,1,1,1,1,0,0,0,294,0.000021,0,9626
381846876,,,0,2,2,0,2,2,1,1,1,0,0,0.000069,294,0.000021,0,9627
403489077,,,0,5,5,0,5,5,1,1,1,0,0,0.000042,294,0.000021,0,9629
4828089006,,,0,3,3,0,3,3,1,1,1,0,0,0.000077,294,0.000021,0,9630
815828769739079681,,,0,10,10,0,16,16,1,1,1,0,0,0.000302,294,0.000021,0,9631
cpietsch93,,,54,0,54,54,0,54,0,0,0,0,0.020006,0,17,0.000098,0,887
3006392793,,,0,2,2,0,2,2,1,1,1,0,0,0.002181,17,0.000021,0,9632
3055659682,,,0,2,2,0,2,2,1,1,1,0,0,0.003582,17,0.000021,0,9633
103409417,,,0,5,5,0,5,5,1,1,1,0,0,0.000019,294,0.000021,0,9637
cpt_ftr,,,1,0,1,1,0,1,0,0,0,0,0,0,294,0.000024,0,9636
486034658,,,0,1,1,0,1,1,1,1,1,0,0,0,78,0.000021,78,9639
cpt_punchline,,,1,0,1,1,0,1,0,0,0,0,0,0,78,0.000038,78,9638
cquincke,,,2,0,2,2,0,2,0,0,0,0,0.000009,0,294,0.000022,0,5088
cridheone,,,6,0,6,7,0,7,0,0,0,0,0.000005,0,294,0.000053,0,3228
185181822,,,0,1,1,0,2,2,1,1,1,0,0,0,294,0.000021,0,9640
512999223,,,0,3,3,0,3,3,1,1,1,0,0,0.000003,294,0.000021,0,9641
712650695313342464,,,0,6,6,0,6,6,1,1,1,0,0,0.000039,294,0.000021,0,9642
883061911188844544,,,0,1,1,0,1,1,1,1,1,0,0,0,79,0.000021,79,9644
crisgnesutta,,,1,0,1,1,0,1,0,0,0,0,0,0,79,0.000038,79,9643
cro_spock,,,5,0,5,9,0,9,0,0,0,0,0.001911,0,17,0.000024,0,1648
129585636,,,0,4,4,0,4,4,1,1,1,0,0,0.000012,294,0.000021,0,9645
crosssolidarity,,,4,0,4,4,0,4,0,0,0,0,0.000008,0,294,0.000033,0,306
14611454,,,0,4,4,0,4,4,1,1,1,0,0,0.000092,294,0.000021,0,9646
580026542,,,0,5,5,0,5,5,1,1,1,0,0,0.000062,294,0.000021,0,9647
csdso,,,1,0,1,1,0,1,0,0,0,0,0.00001,0,294,0.000021,0,5099
